a,une
abandon,abandonner
ability,capacite
able,capable
abortion,avortement
above,dessus
absence,absence
absolute,absolu
absorb,absorber
academic,academique
access,acces
accident,accident
accompany,accompagner
accomplish,accomplir
according,selon
account,compte
accurate,precis
accuse,accuser
achieve,realiser
achievement,reussite
acid,acide
acquire,acquerir
act,acte
action,action
active,actif
activist,activiste
activity,activite
actor,acteur
actress,actrice
actual,reel
actually,reellement
adapt,adapter
add,ajouter
additional,additionnel
address,adresse
adequate,adequat
adjust,regler
adjustment,ajustement
administration,administration
administrator,administrateur
admire,admirer
admission,admission
admit,admettre
adolescent,adolescent
adopt,adopter
adult,adulte
advance,avance
advanced,avancee
advantage,avantage
adventure,aventure
advice,conseil
advise,conseiller
adviser,conseiller
advocate,avocat
affair,affaire
affect,affecter
afraid,peur
african,africain
after,apres
against,contre
age,age
agency,agence
agent,agent
aggressive,agressif
ago,depuis
agricultural,agricole
ahead,devant
aid,aide
aide,aide
aids,sida
aim,objectif
air,air
aircraft,avion
airport,aeroport
album,album
alive,vivant
all,tous
alliance,alliance
allow,autoriser
ally,allie
almost,presque
alone,seul
already,deja
also,aussi
alter,modifier
alternative,alternative
always,toujours
amazing,incroyable
american,americain
among,parmi
amount,montant
an,un
analyst,analyste
analyze,analyser
ancient,ancien
and,et
anger,colere
angle,angle
animal,animal
anniversary,anniversaire
announce,annoncer
annual,annuel
answer,reponse
anticipate,anticiper
anxiety,anxiete
any,tout
anymore,plus
anywhere,partout
apartment,appartement
apparent,apparent
apparently,apparemment
appear,apparaitre
appearance,apparence
apple,pomme
application,application
apply,appliquer
appoint,nommer
appreciate,apprecier
approach,approcher
appropriate,approprie
approval,approbation
approve,approuver
approximately,approximativement
arab,arabe
architect,architecte
are,sommes
area,region
argument,argument
arise,surgir
arm,bras
armed,arme
army,armee
around,environ
arrange,organiser
arrangement,arrangement
arrest,arreter
arrival,arrivee
arrive,arrivee
article,article
artist,artiste
artistic,artistique
as,comme
asian,asiatique
ask,interroger
asleep,endormi
aspect,aspect
assault,agression
assert,affirmer
assess,evaluer
assessment,evaluation
asset,actif
assign,attribuer
assignment,mission
assist,aider
assistance,assistance
assistant,assistant
associate,associer
association,association
assume,presumer
assumption,supposition
assure,assurer
at,a
athlete,athlete
athletic,sportif
atmosphere,atmosphere
atom,atome
attach,attacher
attack,attaque
attempt,tentative
attend,assister
attention,attention
attitude,attitude
attorney,avocat
attract,attirer
attractive,attractif
attribute,attribut
audience,public
author,auteur
authority,autorite
auto,auto
available,disponible
average,moyenne
avoid,eviter
award,prix
awareness,sensibilisation
awful,affreux
baby,bebe
back,arriere
background,contexte
bad,mauvais
badly,mal
bag,sac
bake,cuire
balance,equilibre
ball,balle
ban,interdire
band,bande
bank,banque
bar,bar
barrel,baril
barrier,barriere
base,base
basically,essentiellement
basis,base
basket,corbeille
basketball,basketball
battery,batterie
battle,bataille
be,etre
beach,plage
bean,haricot
bear,ours
beat,battre
beautiful,beau
beauty,beaute
because,car
become,devenir
bed,lit
bedroom,chambre
been,ete
beer,biere
before,avant
begin,commencer
beginning,debut
behavior,comportement
behind,derriere
being,etant
belief,croyance
believe,croire
bell,cloche
belong,appartenir
belt,ceinture
bench,banc
bend,pliez
beneath,sous
besides,outre
best,meilleur
bet,pari
better,meilleur
between,entre
bible,bible
big,gros
bike,bicyclette
bill,facture
billion,milliard
bind,lier
biological,biologique
bird,oiseau
birth,naissance
bit,bit
bite,mordre
blade,lame
blanket,couverture
blind,aveugle
block,bloquer
blow,coup
blue,bleu
board,planche
boat,bateau
body,corps
bomb,bombe
bombing,bombardement
bond,lier
bone,os
book,livre
boom,boom
boot,botte
border,frontiere
born,nee
borrow,emprunter
boss,chef
bother,embeter
bottle,bouteille
bottom,bas
bought,achete
boundary,frontiere
bowl,bol
box,boite
boy,garcon
brain,cerveau
branch,branche
brand,marque
bread,pain
break,pause
breakfast,dejeuner
breast,sein
breath,souffle
breathe,respirer
brick,brique
bridge,pont
brief,bref
briefly,brievement
bright,brillant
brilliant,brillant
bring,apporter
british,britanique
broad,vaste
broke,fauche
broken,casse
brother,frere
brought,amene
brown,brun
brush,brosser
buck,male
budget,budget
build,construire
building,imeuble
bullet,balle
bunch,groupe
burden,charge
burn,bruler
bury,enterrer
bus,autobus
business,entreprise
busy,occupe
but,mais
butter,beurre
button,bouton
buy,acheter
buyer,acheteur
by,par
cabin,cabine
cabinet,cabinet
cable,cable
cake,gateau
calculate,calculer
call,appel
came,venu
camera,camera
camp,camp
campaign,campagne
campus,campus
can,pouvez
canadian,canadien
cancer,cancer
candidate,candidat
cap,casquette
capability,aptitude
capable,capable
capacity,capacite
capital,capitale
captain,capitaine
capture,capturer
car,auto
carbon,carbone
card,carte
career,carriere
careful,prudent
carrier,transporteur
carry,transporter
case,cas
cash,especes
cast,jeter
cat,chat
catch,attraper
category,categorie
catholic,catholique
caught,attrape
cause,causer
ceiling,plafond
celebrate,celebrer
celebration,fete
celebrity,celebrite
cell,cellule
cent,cent
center,centre
central,central
century,siecle
ceo,pdg
certain,certain
certainly,certainement
chain,chaine
chair,chaise
chairman,president
challenge,defi
chamber,chambre
champion,champion
championship,championnat
chance,chance
change,monnaie
channel,canaliser
chapter,chapitre
character,personnage
characteristic,caracteristique
characterize,caracteriser
charge,charger
charity,charite
chart,graphique
chase,chasser
check,cheque
cheek,joue
chef,chef
chemical,chimique
chest,coffre
chick,poussin
chicken,poulet
chief,chef
child,enfant
childhood,enfance
children,enfants
chinese,chinois
chip,ebrecher
chocolate,chocolat
choice,choix
cholesterol,cholesterol
choose,choisir
chord,accord
christian,christian
christmas,noel
church,eglise
cigarette,cigarette
circle,cercle
circumstance,circonstance
cite,citer
citizen,citoyen
city,ville
civil,civil
civilian,civil
claim,reclamer
class,classer
classic,classique
clean,nettoyer
clear,degager
clearly,clairement
client,client
climate,climat
climb,monter
clinic,clinique
clinical,clinique
close,proche
closely,etroitement
clothe,vetir
clothes,vetements
clothing,vetements
cloud,nuage
club,club
clue,indice
cluster,grappe
coach,entraineur
coal,charbon
coalition,coalition
coast,cote
coat,manteau
code,code
coffee,cafe
cognitive,cognitif
cold,froid
collapse,effondrer
colleague,collegue
collect,collecter
collection,collection
collective,collectif
college,universite
colonial,colonial
colony,colonie
color,couleur
column,colonne
combination,combinaison
combine,combiner
come,venir
comedy,comedie
comfort,confort
comfortable,confortable
command,commander
comment,commenter
commercial,commercial
commission,commission
commitment,engagement
committee,comite
common,commun
communicate,communiquer
community,communaute
company,entreprise
compare,comparer
comparison,comparaison
compete,rivaliser
competition,concurrence
competitive,competitif
competitor,concurrent
complain,plaindre
complaint,plainte
complete,achevee
completely,completement
complex,complexe
complicated,complique
component,composant
compose,composer
composition,composition
comprehensive,complet
computer,ordinateur
concentrate,concentrer
concentration,concentration
concept,concept
concern,preoccuper
concerned,concerne
concert,concert
conclude,conclure
conclusion,conclusion
concrete,beton
condition,etat
conduct,conduite
conference,conference
confidence,confiance
confirm,confirmer
conflict,conflit
confront,affronter
confusion,confusion
congress,congres
congressional,congres
connect,relier
connection,lien
consensus,consensus
consequence,consequence
conservative,conservateur
consider,envisager
considerable,considerable
consideration,consideration
consist,consister
consistent,coherent
consonant,consonne
constant,constant
constantly,constamment
constitute,constituer
constitutional,constitutionnel
construct,construction
construction,construction
consultant,consultant
consume,consommer
consumer,consommateur
consumption,consommation
contact,contact
contain,contenir
container,recipient
contemporary,contemporain
content,teneur
contest,concours
continent,continent
continue,continuez
contract,contrat
contrast,contraste
contribute,contribuer
contribution,contribution
control,controler
controversial,controverse
controversy,controverse
convention,convention
conventional,conventionnel
conversation,conversation
convert,convertir
conviction,conviction
convince,convaincre
cook,cuisiner
cookie,biscuit
cooking,cuisson
cool,frais
cop,flic
copy,copie
core,coeur
corn,mais
corner,coin
corporate,entreprise
corporation,societe
correct,correct
correspondent,correspondant
cost,cout
cotton,coton
couch,canape
could,pourrait
council,conseil
counselor,conseiller
count,compter
counter,contrer
country,pays
county,comte
couple,coupler
courage,courage
course,cours
court,rechercher
cousin,cousine
cover,couverture
coverage,couverture
cow,vache
crack,fissure
craft,artisanat
crash,crash
crazy,fou
cream,creme
crease,pli
create,creer
creation,creation
creative,creatif
creature,creature
credit,credit
crew,equipage
criminal,criminel
crisis,crise
criteria,criteres
critic,critique
critical,critique
criticism,critique
criticize,critiquer
crop,recadrer
cross,traverser
crowd,foule
crucial,crucial
cry,cri
cultural,culturel
culture,culture
cup,tasse
curious,curieuse
current,courant
currently,actuellement
custom,douane
customer,client
cut,couper
cycle,cycle
dad,pere
damage,dommage
dance,danse
danger,danger
dangerous,dangereux
dare,oser
dark,fonce
darkness,obscurite
date,date
day,journee
dead,morte
deal,accord
dealer,marchand
dear,chere
death,deces
debate,debat
debt,dette
decade,decennie
decide,decider
decimal,decimal
decision,decision
declare,declarer
decline,declin
decrease,diminuer
deep,profond
deeply,profondement
deer,cerf
defeat,defaite
defend,defendre
defendant,defendeur
defensive,defensive
deficit,deficit
define,definir
definitely,absolument
definition,definition
degree,degre
delay,retard
deliver,livrer
delivery,livraison
demand,demande
democrat,democrate
democratic,democratique
demonstrate,demontrer
demonstration,manifestation
deny,nier
department,departement
depend,dependre
dependent,dependant
depict,representer
depression,depression
depth,profondeur
deputy,adjoint
derive,deriver
describe,decris
desert,desert
deserve,meriter
design,conception
designer,designer
desire,desir
desk,bureau
desperate,desespere
despite,malgre
destroy,detruire
destruction,destruction
detail,detail
detailed,detaille
detect,detecter
determine,determiner
develop,developper
developing,developpement
development,developpement
device,dispositif
devote,consacrer
dialogue,dialogue
dictionary,dictionnaire
did,fait
die,mourir
diet,diete
differ,differer
difference,difference
different,different
differently,differemment
difficult,difficile
difficulty,difficulte
dig,creuser
digital,numerique
dimension,dimension
dinner,diner
direct,direct
direction,direction
directly,directement
director,realisateur
dirt,salete
dirty,sale
disability,invalidite
disappear,disparaitre
disaster,catastrophe
discourse,discours
discover,decouvrir
discovery,decouverte
discrimination,discrimination
discuss,discuter
discussion,discussion
disease,maladie
dish,assiette
dismiss,rejeter
disorder,desordre
display,affichage
dispute,contestation
distance,distance
distant,loin
distinct,distinct
distinction,distinction
distinguish,distinguer
distribute,distribuer
distribution,distribution
district,quartier
diverse,diverse
divide,diviser
division,division
divorce,divorce
dna,adn
do,faire
doctor,medecin
document,document
dog,chien
dollar,dollar
domestic,national
dominant,dominant
dominate,dominer
done,termine
door,porte
double,double
doubt,doute
